DistrictID,District
2063,Adel SD 21
2113,Adrian SD 61
1899,Alsea SD 7J
2252,Amity SD 4J
2111,Annex SD 29
2005,Arlington SD 3
2115,Arock SD 81
2041,Ashland SD 5
2051,Ashwood SD 8
1933,Astoria SD 1
2208,Athena-Weston SD 29RJ
1894,Baker SD 5J
1969,Bandon SD 54
2240,Banks SD 13
2243,Beaverton SD 48J
1976,Bend-LaPine Administrative SD 1
2088,Bethel SD 52
2095,Blachly SD 90
2052,Black Butte SD 41
1974,Brookings-Harbor SD 17C
1896,Burnt River SD 30J
2046,Butte Falls SD 91
1995,Camas Valley SD 21J
1929,Canby SD 86
2139,Cascade SD 5
2185,Centennial SD 28J
1972,Central Curry SD 1
2105,Central Linn SD 552
2042,Central Point SD 6
2191,Central SD 13J
1902,Clackamas ESD
1945,Clatskanie SD 6J
1927,Colton SD 53
2006,Condon SD 25J
1965,Coos Bay SD 9
1964,Coquille SD 8
2186,Corbett SD 39
1901,Corvallis SD 509J
2216,Cove SD 15
2086,Creswell SD 40
1970,Crook County SD
2089,Crow-Applegate-Lorane SD 66
2050,Culver SD 4
2190,Dallas SD 2
2187,David Douglas SD 40
2253,Dayton SD 8
2011,Dayville SD 16J
2017,Diamond SD 7
2021,Double O SD 28
1993,Douglas County SD 15
1991,Douglas County SD 4
1980,Douglas ESD
2019,Drewsey SD 13
2229,Dufur SD 29
2043,Eagle Point SD 9
2203,Echo SD 5
2217,Elgin SD 23
1998,Elkton SD 34
2221,Enterprise SD 21
1930,Estacada SD 108
2082,Eugene SD 4J
2193,Falls City SD 57
2084,Fern Ridge SD 28J
2241,Forest Grove SD 15
2248,Fossil SD 21J
2020,Frenchglen SD 16
2245,Gaston SD 511J
2137,Gervais SD 1
1931,Gladstone SD 115
2e3,Glendale SD 77
1992,Glide SD 12
2054,Grants Pass SD 7
2100,Greater Albany Public SD 8J
2183,Gresham-Barlow SD 10J
2014,Harney County SD 3
2015,Harney County SD 4
2023,Harney County Union High SD 1J
2114,Harper SD 66
2099,Harrisburg SD 7J
2201,Helix SD 1
2206,Hermiston SD 8
1975,High Desert ESD
2239,Hillsboro SD 1J
2024,Hood River County SD
1895,Huntington SD 16J
2215,Imbler SD 11
2200,InterMountain ESD
3997,Ione SD R2
2053,Jefferson County SD 509J
2140,Jefferson SD 14J
1934,Jewell SD 8
2008,John Day SD 3
2107,Jordan Valley SD 3
2219,Joseph SD 6
2091,Junction City SD 69
2109,Juntura SD 12
2057,Klamath County SD
2056,Klamath Falls City Schools
2262,Knappa SD 4
2212,La Grande SD 1
2059,Lake County SD 7
1923,Lake Oswego SD 7J
2064,Lane ESD
2101,Lebanon Community SD 9
2097,Lincoln County SD
2098,Linn Benton Lincoln ESD
2012,Long Creek SD 17
2092,Lowell SD 71
2112,Malheur County SD 51
2106,Malheur ESD Region 14
2085,Mapleton SD 32
2094,Marcola SD 79J
2090,McKenzie SD 68
2256,McMinnville SD 40
2048,Medford SD 549C
2205,Milton-Freewater Unified SD 7
2249,Mitchell SD 55
1925,Molalla River SD 35
1898,Monroe SD 1J
2010,Monument SD 8
2147,Morrow SD 1
2145,Mt Angel SD 91
2148,Multnomah ESD
1968,Myrtle Point SD 41
2198,Neah-Kah-Nie SD 56
2199,Nestucca Valley SD 101J
2254,Newberg SD 29J
1966,North Bend SD 13
1924,North Clackamas SD 12
1996,North Douglas SD 22
2061,North Lake SD 14
2141,North Marion SD 15
2214,North Powder SD 8J
2143,North Santiam SD 29J
4131,North Wasco County SD 21
2230,Northwest Regional ESD
2110,Nyssa SD 26
1990,Oakland SD 1
2093,Oakridge SD 76
3476,ODE JDEP District
5334,ODE ORR
3477,ODE YCEP District
2108,Ontario SD 8C
1928,Oregon City SD 62
2336,Oregon Department of Education
1926,Oregon Trail SD 46
2060,Paisley SD 11
2181,Parkrose SD 3
2207,Pendleton SD 16
2192,Perrydale SD 21
1900,Philomath SD 17J
2039,Phoenix-Talent SD 4
2202,Pilot Rock SD 2
2016,Pine Creek SD 5
1897,Pine Eagle SD 61
2047,Pinehurst SD 94
2081,Pleasant Hill SD 1
2062,Plush SD 18
1973,Port Orford-Langlois SD 2CJ
2180,Portland SD 1J
1967,Powers SD 31
2009,Prairie City SD 4
2045,Prospect SD 59
1946,Rainier SD 13
1977,Redmond SD 2J
2001,Reedsport SD 105
2182,Reynolds SD 7
1999,Riddle SD 70
2188,Riverdale SD 51J
2044,Rogue River SD 35
2142,Salem-Keizer SD 24J
2104,Santiam Canyon SD 129J
1944,Scappoose SD 1J
2103,Scio SD 95
1935,Seaside SD 10
2257,Sheridan SD 48J
2195,Sherman County SD
2244,Sherwood SD 88J
2138,Silver Falls SD 4J
1978,Sisters SD 6
2096,Siuslaw SD 97J
1949,South Coast ESD
2022,South Harney SD 33
2087,South Lane SD 45J3
1994,South Umpqua SD 19
2225,South Wasco County SD 1
2025,Southern Oregon ESD
2247,Spray SD 1
2083,Springfield SD 19
1948,St Helens SD 502
2144,St Paul SD 45
2209,Stanfield SD 61
2018,Suntex SD 10
2003,Sutherlin SD 130
2102,Sweet Home SD 55
2055,Three Rivers/Josephine County SD
2242,Tigard-Tualatin SD 23J
2197,Tillamook SD 9
2222,Troy SD 54
2210,Ukiah SD 80R
2204,Umatilla SD 6R
2211,Union-Baker ESD
2213,Union SD 5
2116,Vale SD 84
1947,Vernonia SD 47J
2220,Wallowa SD 12
1936,Warrenton-Hammond SD 30
1922,West Linn-Wilsonville SD 3J
2117,Willamette ESD
2255,Willamina SD 30J
2002,Winston-Dillard SD 116
2146,Woodburn SD 103
2251,Yamhill Carlton SD 1
1997,Yoncalla SD 32
