District,BAPerctentIncrease,AvgSalary,FTE,StudentDays,ContractDays,InserviceDays,Holidays,EndYear,DistrictID
Beaverton 48J *,2.29,61324,1870,0,193,0,5,2014,2243
Bend-La Pine 1,2.08,57614,829,174,190,2,5,2014,1976
Canby 86,0,60280,211,164/167,191,4,6,2014,1929
Centennial 28J *,0,64579,299,0,192,0,6,2014,2185
Central Point 6,1,60415,189,176,190,8,6,2014,2042
Corvallis 509J,1.6,59576,332,181,190,4,5,2014,1901
Crook County,1,58758,168,169,190,9,4,2014,1970
Dallas 2,1,52865,145,0,190,0,4,2014,2190
David Douglas 40 *,0,63140,539,179,192,6,5,2014,2189
Eagle Point 9,0,57059,169,176,190,8,0,2014,2043
Eugene 4J *,-1.371,59649,852,162.5,191,3,5,2014,2082
Forest Grove *,3.7800000000000002,61644,254,171,190,5,5,2014,2241
Grants Pass 7 *,2.51,67758,260,172,190,3,4,2014,2054
Greater Albany 8J,2,57241,448,176,190,3,5,2014,2100
Gresham-Barlow 10,2.55,62635,603,168,187,5,6,2014,2183
Hermiston 8 No,0,56056,245,173,189,9,3,2014,2206
Hood River County,0.5,61483,236,174,190,3,5,2014,2024
Klamath County,0,56924,341,167,190,5,5,2014,2057
Klamath Falls City Schools,2,57319,182,172,190,4,5,2014,2056
Lebanon Community Schools,0,49588,221,173,191,0,7,2014,2101
Lincoln County Schools,0,53799,278,167,190,4,5,2014,2097
McMinnville 40,1.25,57213,345,174,190,11,5,2014,2256
Newberg 29J,3.09,57101,266,173.5,190,2.5,5,2014,2254
North Bend 13,1.5,44801,190,174,191,9,8,2014,1966
Oregon City 62 *,5.56,58617,427,177,191,6.5,6,2014,1928
Oregon Trail 46,1.5,58075,187,169,190,1,8,2014,1926
Parkrose 3,-0.54,63604,165,162.5,182,0,5,2014,2181
Pendleton 16 *,2,61413,171,170,187,8,5,2014,2207
Redmond 2J *,6.8629999999999995,51489,331,170.5,187,3,6,2014,1977
Reynolds 7 *,0,63421,602,174,186,6,0,2014,2182
Roseburg Public Schools,1,54553,296,173,192,2,7,2014,NA
Salem-Keizer 24J,-1.2449999999999999,58506,1973,175,192,7,7,2014,2142
Sherwood 88J *,-4.596,58217,242,174,190,3.5,5,2014,2244
Silver Falls 4J,1.5,53034,222,174,192,10,5,2014,2138
Springfield 19,2.16,55160,500,0,193,0,6,2014,2083
St Helens 502 *,3.8499999999999996,57765,160,173,190,2,5,2014,1948
Three Rivers/Josephine CU,2.7800000000000002,58869,208,172,190,4,5,2014,2055
West Linn-Wilsonville 3J,1.97,59921,434,173,191,12,6,2014,1922
Astoria 1C *,6.631,52357,110,177,186,7,3,2014,1933
Banks 13,5.592,49283,55,169,189,4,5,2014,2240
Brookings-Harbor 17 *,1,50495,78,174,192,5,7,2014,1974
Cascade 5,0,46728,130,0,191,0,5,2014,2139
Coos Bay 9,1.5,47405,142,175,190,3,6,2014,1965
Estacada 108 *,1.25,53548,127,175,190,3,6,2014,1930
Fern Ridge 28J,1.25,54246,76,173,190,3,4,2014,2084
Gervais 1,0,52574,63,166,190,9.5,5,2014,2137
Gladstone 115,0,53700,92,167.5,182,8.5,2,2014,1931
Jefferson Co 509J,1,54734,168,168.5,190,3,8,2014,2053
La Grande 1,1,51925,110,175,175,7,6,2014,2213
Milton-Freewater 7,0,51508,101,178,189,5,6,2014,2205
Molalla River *,0.5,48180,138,171,190,4,6,2014,1925
Morrow 1,3,48626,136,150,190,15,4,2014,2147
North Marion 15,2,56102,95,172,172,0,5,2014,2141
North Wasco County 21,1,54460,159,175,190,2,4,2014,4131
Nyssa 26,1,50188,73,175,190,1,7,2014,2110
Ontario 8C,0.5,51993,135,176,191,0,5,2014,2108
Phoenix-Talent 4,4.92,57252,134,173.5,190,10.5,6,2014,2039
Seaside 10 *,1,61431,92,176,190,9,5,2014,1935
Sheridan 48J,1,49151,60,0,190,0,5,2014,2257
Siuslaw 97J,1,57096,71,177,191,8,6,2014,2096
South Umpqua 19,0,48823,78,172.5,190,9.5,7,2014,1994
Sutherlin 130 *,2.75,54791,73,176,190,8,4,2014,2203
Sweet Home 55,1,48987,121,149,178,4,6,2014,2102
Tillamook 9,0,48549,110,169,190,10,8,2014,2197
Umatilla 6,0,56307,73,143,185,4,3,2014,2204
Winston-Dillard 116,0.75,51284,79,148,190,11,5,2014,2002
Amity 4J,1.5,50139,61,150,190,14,7,2014,2252
Athena-Weston 29J *,3,52771,34,174,190,8,8,2014,2208
Central Linn 552,0,42900,41,0,190,0,7,2014,2105
Clatskanie 6J *,0,52254,39,176,190,1,6,2014,1945
Colton 53,5.561,50229,30,144,172,9,5,2014,1927
Coquille 8,0.75,53050,50,168,190,9,8,2014,1964
Culver 4,1,53743,47,0,190,0,7,2014,2050
Dayton 8 *,-1.462,53667,61,167,184,7,6,2014,2253
Harrisburg 7,0,41011,53,145,171,5,6,2014,2099
Jefferson 14J *,50407,51,0,190,2,6,0,2014,2140
John Day 3 *,3.73,50518,40,149,190,2,7,2014,2008
Mt Angel 91,1.5,50828,41,0,192,0,6,2014,2145
Myrtle Point 41,1,52199,39,0,190,5,5,2014,1968
