District,BAPerctentIncrease,AvgSalary,FTE,StudentDays,ContractDays,InserviceDays,Holidays
Bend-La Pine 1,2.4,"62,320",887,175,190,6,5
Bethel 52,1.75,"60,046",296,175,192,8,5
Centennial 28J *,3,"66,492",322,174,192,4,6
Central 13J,3,"50,941",157,170,191,3,6
Coos Bay 9,2.87,"51,655",146,175,190,3,6
Corvallis 509J,2,"61,614",351,174,190,4,5
Dallas 2 *,7.531,"56,600",166,172,190,9,4
David Douglas 40 *,2,"65,502",550,181,192,6,5
Eagle Point 9,2,"57,226",188,176,190,8,6
Eugene 4J,1.84,"62,308",868,174.5,191,10,5
Grants Pass 7 *,2.34,"70,967",283,172,190,5,4
Greater Albany 8J,2.5,"60,908",486,176,191,4,5
Gresham-Barlow 10,2,"67,175",582,181,191,4,6
Hermiston 8,3,"57,411",282,173,189,4,3
Hillsboro 1J *,2.5,"60,952",1032,175,191,3,5
Klamath County,2.7,"59,122",350,170,190,5,5
Klamath Falls City Schools,2.3,"60,508",187,172,190,5,5
Lake Oswego 7J,2,"66,573",370,183,191,5,6
Lebanon Community Schools,5.83,"48,817",202,173,191,1,7
McMinnville 40,2.75,"60,385",376,174,190,9,5
Medford 549C,2.5,"59,477",727,175,192,8,7
Newberg 29J,3.25,"61,501",282,173.5,190,2.5,5
North Bend 13,2,"46,988",222,175,191,8,8
North Clackamas 12,3.57,"62,287",869,173,193,14,6
North Wasco County 21,2,"56,091",173,175,190,2,4
Oregon City 62 *,1,"61,182",431,169,191,6.5,6
Oregon Trail 46,2,"61,184",205,173,190,4,8
Parkrose 3,2,"66,971",158,175,191,20,5
Pendleton 16 *,2,"64,082",182,170,187,8,5
Redmond 2J *,1.2,"56,807",400,171.5,189,5,6
Reynolds 7 *,2.5,"62,749",658,169,186,7,0
Roseburg Public Schools,0,"55,885",306,177,192,6,7
Santiam Canyon 129 *,0,"42,668",173,151,190,19,9
Sherwood 88J,2.25,"64,003",271,175,190,7,5
Silver Falls 4J *,2,"56,573",231,174,192,10,5
Springfield 19,2,"57,767",533,175,193,5,6
Three Rivers,1,"61,345",227,180,190,5,5
Tigard-Tualatin 23J,2.75,"64,125",705,180,190,5,5
West Linn-Wilsonville 3J,2.5,"61,829",500,173,191,12,6
Woodburn 103,2.5,"59,266",293,173,191,2.5,5
Ashland 5,2.5,"58,817",175,171,191,9,5
Astoria 1C *,1,"57,880",107,174,188,10,3
Baker 5J,3,"52,327",147,147,191,1.5,8
Banks 13,2,"55,724",59,174,189,4,5
Brookings-Harbor 17,2,"54,550",84,174,192,10,7
Cascade 5,2.25,"52,018",133,174,191,5,5
Corbett 39 *,1,"61,297",58,148,164,3,5
Creswell 40,1,"60,593",61,173,190,5,5
Crook County,0,"57,412",153,169,190,17,4
Estacada 108 *,2.5,"58,202",111,175,190,5,6
Fern Ridge 28J,1.5,"56,962",78,173,190,3,4
Gervais 1,0,"57,528",62,167,190,5,5
Jefferson Co 509J,2.5,"57,537",157,176,190,4,8
La Grande 1,4.25,"50,270",121,175,175,7,6
Milton-Freewater 7,2,"50,559",99,170,189,5,6
Molalla River *,2,"52,110",149,169,190,15,6
Morrow 1,4,"54,888",141,150,190,6,4
Nyssa 26,2,"54,790",76,175,190,5,7
Philomath 17J,3,"55,401",98,173,190,11,6
Phoenix-Talent 4 *,2.51,"59,188",141,173,190,11,6
Scappoose 1J *,3,"54,276",124,173,190,4,5
Seaside 10 *,2.25,"65,186",88,176,190,9,5
Sisters 6,1.5,"61,948",62,167,187,8,6
Siuslaw 97J,0,"57,534",76,177,191,8,6
South Lane 45J *,0.75,"61,431",167,174,190,8,5
Sutherlin 130 *,2,"56,387",79,178,190,8,4
Sweet Home 55,2.5,"52,100",128,149,178,23,6
Tillamook 9,5.58,"50,229",114,170,190,5,8
Umatilla 6,0,"57,014",74,178,185,4,3
Winston-Dillard 116,2,"51,903",88,149,190,20,5
Yamhill-Carlton 1 *,3,"49,738",66,176,190,3,5
